Ti2CrIn,17,Ti,Cr,In,A1Mom,0.9371,6.521,-0.01169,-0.69622,0.2024,0.7524,0.2024,0.55,None,-0.060285
Ti2CrSb,19,Ti,Cr,Sb,NormMom,1,6.396,-0.432847,1,-0.4687,0.0713,0.0713,0.54,Half-Metal,-0.076871
Ti2MnSn,19,Ti,Mn,Sn,NormMom,1,6.405,-0.742803,1,-0.3861,-0.2161,0.2161,0.17,Half-Metal,-0.015844
V2CrGe,20,V,Cr,Ge,NormMom,1.9996,5.958,-0.472248,1,-0.0616,0.0384,0.0384,0.1,Half-Metal,-0.112834
V2CrSi,20,V,Cr,Si,BigMom,1.9992,5.868,-1.09285,1,-0.1677,0.0123,0.0123,0.18,Half-Metal,-0.092943
V2CrSn,20,V,Cr,Sn,BigMom,2.2138,6.222,0.317987,0.58031,0.1541,0.1941,0.1541,0.04,None,-0.205505
V2MnAl,20,V,Mn,Al,A1Mom,2,5.936,-0.592046,1,-0.2082,0.2218,0.2082,0.43,Half-Metal,-0.281263
V2MnGa,20,V,Mn,Ga,BigMom,2,5.927,-0.477379,1,-0.1398,0.2002,0.1398,0.34,Half-Metal,-0.175857
V2MnIn,20,V,Mn,In,A1Mom,3.1176,6.271,0.777539,0.36859,-0.6457,-0.4557,0.4557,0.19,None,-0.210896
Ti2CoSn,21,Ti,Co,Sn,A1Mom,3,6.356,-0.865395,1,-0.4455,0.3045,0.3045,0.75,Half-Metal,-0.039586
Ti2NiIn,21,Ti,Ni,In,A1Mom,2.9994,6.41,-0.50644,1,-0.1166,0.2634,0.1166,0.38,Half-Metal,-0.07729
V2CrP,21,V,Cr,P,NormMom,-0.0006,5.76,-1.467619,0.00049,-0.7688,-0.6488,0.6488,0.12,Metal,-0.172324
V2CrSb,21,V,Cr,Sb,BigMom,2.9442,6.22,0.228469,-0.24173,0.312,0.422,0.312,0.11,None,-0.294738
V2FeAl,21,V,Fe,Al,A1Mom,2.9813,5.93,-0.754035,-0.83274,-0.602,0.018,0.018,0.62,Half-Metal,-0.646842
V2FeGa,21,V,Fe,Ga,A1Mom,2.9374,5.924,-0.579785,-0.69091,-0.5649,-0.0149,0.0149,0.55,None,-0.375109
V2FeIn,21,V,Fe,In,A1Mom,2.9763,6.18,0.691732,-0.89062,-0.367,0.013,0.013,0.38,Half-Metal,-0.503932
V2MnGe,21,V,Mn,Ge,BigMom,2.9297,5.933,-0.768815,-0.64003,-0.2651,-0.0551,0.0551,0.21,None,-0.275331
V2MnSi,21,V,Mn,Si,A1Mom,2.87,5.836,-1.417418,-0.3917,-0.3832,-0.0932,0.0932,0.29,None,-0.443721
V2MnSn,21,V,Mn,Sn,A1Mom,2.9869,6.215,-0.009157,-0.55071,0.2201,0.2601,0.2201,0.04,None,-0.292529
Cr2MnAl,22,Cr,Mn,Al,A1Mom,2,5.831,-0.347831,-1,-0.0273,0.0627,0.0273,0.09,Half-Metal,-0.356798
Cr2MnGa,22,Cr,Mn,Ga,BigMom,1.9982,5.832,-0.025921,-0.98725,0.1347,0.1647,0.1347,0.03,None,-0.173999
Cr2MnIn,22,Cr,Mn,In,A1Mom,3.7089,6.312,1.25296,0.09607,none,none,none,none,None,1.491387
V2CoAl,22,V,Co,Al,BigMom,1.9999,5.911,-0.676613,-0.99938,-1.0196,-0.3696,0.3696,0.65,None,-0.599217
